Index,Snore_Data,RED,IR
3047,2679,23167,27421
3048,1255,23166,27422
3049,1650,23165,27433
3050,-1167,23169,27437
3051,211,23172,27437
3052,612,23169,27441
3053,830,23172,27446
3054,2646,23173,27444
3055,1427,23176,27453
3056,3306,23174,27451
3057,3073,23171,27454
3058,406,23174,27455
3059,1014,23178,27458
3060,1084,23178,27461
3061,1210,23181,27475
3062,1251,23188,27485
3063,2546,23190,27490
3064,3486,23188,27491
3065,3725,23190,27493
3066,1094,23188,27502
3067,-1016,23189,27500
3068,-862,23188,27498
3069,-982,23186,27490
3070,-548,23187,27484
3071,-904,23184,27483
3072,2029,23179,27480
3073,2509,23184,27483
3074,491,23179,27479
3075,480,23179,27480
3076,1599,23185,27480
3077,256,23183,27487
3078,-508,23187,27487
3079,-2936,23189,27487
3080,93,23185,27493
3081,-325,23186,27496
3082,-617,23189,27500
3083,-529,23195,27511
3084,231,23199,27510
3085,-1667,23195,27518
3086,-2563,23200,27524
3087,-1967,23205,27526
3088,-3342,23203,27540
3089,-4627,23205,27545
3090,-4390,23213,27544
3091,-5148,23211,27555
3092,-5145,23218,27562
3093,-4820,23215,27563
3094,-3941,23215,27566
3095,-3232,23218,27585
3096,4738,23223,27575
3097,5151,23222,27592
3098,6072,23223,27593
3099,5378,23223,27592
3100,4368,23227,27599
3101,3138,23228,27601
3102,3691,23231,27609
3103,3258,23227,27612
3104,3118,23233,27610
3105,2515,23238,27623
3106,2860,23236,27629
3107,2711,23241,27633
3108,1988,23240,27638
3109,2351,23247,27641
3110,173,23244,27644
3111,-353,23251,27652
3112,-449,23253,27665
3113,-1508,23252,27668
3114,-1657,23258,27673
3115,-2055,23251,27666
3116,-1808,23247,27649
3117,-2824,23237,27623
3118,-3519,23214,27571
3119,-3548,23204,27538
3120,-2843,23184,27500
3121,-2502,23173,27468
3122,-2867,23168,27449
3123,-3687,23162,27425
3124,-5957,23155,27406
3125,-7306,23148,27407
3126,-7452,23155,27403
3127,-6143,23152,27395
3128,2041,23153,27407
3129,508,23157,27411
3130,244,23156,27409
3131,-1453,23160,27424
3132,-2524,23165,27428
3133,-2303,23163,27434
3134,-1683,23167,27436
3135,-1216,23167,27439
3136,-1373,23168,27439
3137,-1521,23170,27447
3138,-653,23174,27449
3139,-924,23172,27451
3140,-1413,23175,27466
3141,-2412,23180,27468
3142,-2708,23183,27484
3143,-2063,23185,27485
3144,-1690,23193,27496
3145,-1361,23190,27498
3146,-2847,23189,27503
3147,-4102,23186,27500
3148,-3611,23192,27495
3149,-3056,23183,27492
3150,-2883,23185,27487
3151,-3127,23187,27485
3152,-2741,23182,27484
3153,-3507,23185,27484
3154,-3445,23180,27484
3155,-4101,23182,27480
3156,-3472,23187,27484
3157,-3138,23186,27489
3158,-2512,23187,27495
3159,-4392,23191,27502
3160,-3991,23192,27504
3161,-3537,23195,27509
3162,-2592,23196,27514
3163,-2003,23202,27523
3164,-1562,23204,27528
3165,-616,23205,27535
3166,-741,23206,27541
3167,-1099,23211,27548
3168,-741,23216,27558
3169,-1055,23216,27560
3170,-679,23221,27567
3171,-491,23226,27578
3172,1181,23224,27583
3173,1863,23225,27589
3174,2706,23230,27591
3175,2159,23236,27593
3176,-1459,23235,27606
3177,-1624,23235,27606
3178,-322,23236,27614
3179,1312,23242,27616
3180,946,23243,27617
3181,-24,23240,27618
3182,1024,23246,27624
3183,2354,23242,27627
3184,1852,23244,27636
3185,1275,23250,27630
3186,1553,23252,27641
3187,3790,23250,27637
3188,3879,23251,27646
3189,3066,23254,27653
3190,2278,23258,27655
3191,2096,23257,27670
3192,3804,23259,27671
3193,3322,23268,27679
3194,1702,23270,27679
3195,1883,23271,27690
3196,2075,23276,27691
3197,2643,23273,27694
3198,1843,23268,27683
3199,754,23257,27657
3200,-140,23246,27620
3201,-1230,23221,27583
3202,-2239,23211,27537
3203,-2786,23199,27500
3204,-1548,23189,27475
3205,-520,23175,27451
3206,-101,23169,27435
3207,824,23167,27420
3208,1361,23166,27421
3209,1205,23166,27421
3210,2094,23165,27422
3211,1036,23169,27429
3212,145,23171,27436
3213,750,23175,27441
3214,2243,23178,27443
3215,3334,23179,27453
3216,2803,23182,27461
3217,3043,23182,27456
3218,2243,23181,27467
3219,3685,23184,27463
3220,2632,23184,27470
3221,2200,23191,27479
3222,2385,23190,27482
3223,2306,23195,27495
3224,2425,23199,27505
3225,2216,23202,27510
3226,1566,23203,27512
3227,1976,23204,27521
3228,3877,23206,27519
3229,4657,23202,27516
3230,5220,23203,27511
3231,4355,23202,27513
3232,5287,23200,27504
3233,4291,23194,27500
3234,2923,23197,27500
3235,2358,23196,27496
3236,2592,23192,27499
3237,2459,23198,27501
3238,1992,23194,27498
3239,2464,23198,27509
3240,2933,23201,27514
3241,2831,23203,27518
3242,3843,23208,27522
3243,3820,23204,27526
3244,3437,23209,27532
3245,3024,23207,27534
3246,2707,23212,27548
3247,2735,23219,27554
3248,3789,23223,27560
3249,3297,23219,27563
3250,3697,23224,27573
3251,2802,23231,27580
3252,998,23227,27581
3253,-171,23235,27591
3254,-1655,23235,27593
3255,-1681,23233,27605
3256,-1242,23237,27604
3257,-53,23239,27615
3258,169,23241,27613
3259,526,23246,27620
3260,1570,23240,27626
3261,2400,23252,27629
3262,2165,23249,27623
3263,2685,23243,27635
3264,3673,23249,27632
3265,4038,23250,27642
3266,3691,23254,27642
3267,2067,23255,27642
3268,1406,23257,27647
3269,-118,23256,27656
3270,-640,23255,27666
3271,-1664,23267,27666
3272,-5092,23261,27669
3273,-3991,23266,27677
3274,-3799,23269,27686
3275,-4317,23267,27686
3276,-4202,23273,27683
3277,-5347,23266,27671
3278,-6450,23256,27654
3279,-6688,23242,27626
3280,-7035,23231,27580
3281,-7468,23211,27545
3282,-7114,23197,27510
3283,-7323,23186,27486
3284,-7446,23185,27467
3285,-3243,23179,27444
3286,-2466,23172,27435
3287,-863,23169,27428
3288,-991,23172,27421
3289,-1747,23169,27431
3290,-1584,23172,27428
3291,-2382,23173,27436
3292,-3156,23177,27443
3293,-2774,23177,27449
3294,-4236,23181,27455
3295,-4755,23182,27462
3296,-4063,23183,27461
3297,-3000,23184,27466
3298,-1965,23181,27467
3299,-1745,23188,27474
3300,-1181,23183,27480
3301,115,23193,27483
3302,-508,23197,27490
3303,-1510,23198,27501
3304,-2783,23204,27504
3305,-2849,23205,27515
3306,-3502,23204,27521
3307,-4119,23202,27517
3308,-5412,23203,27518
3309,-6430,23199,27515
3310,-6635,23205,27510
3311,-7159,23201,27505
3312,-7482,23196,27506
3313,-6778,23197,27498
3314,-6773,23198,27498
3315,-6571,23195,27497
3316,-5426,23201,27497
3317,-5376,23195,27501
3318,-4208,23200,27505
3319,-3705,23198,27508
3320,4602,23196,27509
3321,2326,23205,27519
3322,1394,23202,27518
3323,1240,23211,27530
3324,1139,23207,27532
3325,-639,23219,27539
3326,-1336,23218,27546
3327,-1235,23222,27557
3328,-683,23224,27559
3329,-751,23223,27564
3330,649,23229,27574
3331,1622,23233,27581
3332,3435,23236,27587
3333,2943,23233,27590
3334,2385,23236,27600
3335,4013,23242,27608
3336,4235,23245,27613
3337,4223,23244,27618
3338,5494,23249,27623
3339,4827,23247,27626
3340,4145,23248,27631
3341,2977,23253,27633
3342,1624,23254,27636
3343,1279,23255,27645
3344,-193,23256,27644
3345,-1488,23256,27651
3346,-1974,23260,27650
3347,-2534,23263,27655
3348,-2803,23264,27661
3349,-3048,23267,27662
3350,-3564,23265,27666
3351,-4122,23270,27674
3352,-2784,23270,27678
3353,-2925,23272,27682
3354,-1556,23274,27688
3355,144,23276,27692
3356,358,23280,27696
3357,1073,23287,27704
3358,313,23280,27711
3359,-1120,23279,27716
3360,-2355,23277,27692
3361,-3578,23263,27666
3362,-5186,23250,27625
3363,-5150,23230,27580
3364,-4769,23215,27539
3365,-5851,23204,27502
3366,-5769,23189,27482
3367,-5890,23188,27459
3368,4912,23181,27440
3369,2308,23174,27424
3370,2434,23169,27419
3371,-22,23172,27421
3372,5072,23176,27424
3373,3172,23176,27421
3374,5175,23175,27434
3375,634,23185,27434
3376,-1667,23181,27443
3377,4445,23179,27448
3378,1072,23184,27454
3379,-1131,23183,27459
3380,3887,23189,27460
3381,2250,23190,27462
3382,2004,23189,27458
3383,4142,23189,27468
3384,1058,23191,27467
3385,1010,23193,27482
3386,1275,23201,27481
3387,4129,23201,27498
3388,2530,23203,27508
3389,-43,23209,27505
3390,3916,23203,27515
3391,7161,23211,27510
3392,5137,23208,27508
3393,2953,23200,27508
3394,3556,23202,27496
3395,6571,23197,27496
3396,4259,23195,27494
3397,188,23195,27490
3398,2150,23194,27497
3399,5575,23191,27493
3400,4771,23204,27496
3401,4806,23204,27493
3402,3481,23196,27505
3403,5894,23206,27507
3404,7190,23208,27506
3405,764,23208,27518
3406,2457,23208,27516
3407,6611,23211,27529
3408,1804,23221,27530
3409,2789,23215,27540
3410,1622,23218,27543
3411,3304,23225,27556
3412,4892,23230,27563
3413,-166,23229,27571
3414,356,23237,27574
3415,5160,23232,27581
3416,4183,23244,27591
3417,-3308,23239,27594
3418,-7353,23242,27599
3419,-3084,23247,27612
3420,18,23246,27612
3421,-1466,23249,27615
3422,-2768,23251,27620
3423,-622,23255,27626
3424,-970,23257,27631
3425,-4069,23253,27635
3426,-4042,23261,27637
3427,-4407,23256,27645
3428,-3463,23264,27652
3429,4030,23264,27654
3430,-8902,23266,27651
3431,-8176,23265,27656
3432,1855,23265,27661
3433,-3938,23265,27668
3434,-5979,23274,27675
3435,-5670,23273,27677
3436,-6921,23269,27681
3437,8153,23278,27683
3438,4962,23278,27692
3439,-2450,23279,27695
3440,-2034,23286,27701
3441,-4875,23285,27702
3442,4718,23288,27710
3443,-3608,23291,27723
3444,-4790,23295,27723
3445,6183,23298,27733
3446,876,23294,27731
3447,-3585,23300,27739
3448,-3670,23294,27720
3449,-7136,23280,27694
3450,1310,23266,27642
3451,638,23242,27599
3452,-702,23229,27556
3453,1466,23209,27517
3454,-16,23200,27491
3455,2547,23189,27468
3456,1513,23186,27447
3457,2069,23178,27436
3458,2179,23176,27427
3459,2608,23180,27430
3460,578,23176,27426
3461,2634,23178,27433
3462,1412,23184,27441
3463,7015,23188,27447
3464,3772,23191,27452
3465,-4294,23187,27460
3466,2601,23192,27462
3467,2306,23197,27469
3468,-2728,23193,27469
3469,3672,23195,27470
3470,-2716,23194,27473
