Index,Snore_Data,RED,IR
5780,6607,26753.0,29638.0
5781,1123,26748.0,29635.0
5782,5771,26751.0,29642.0
5783,2659,26752.0,29644.0
5784,3160,26748.0,29650.0
5785,10392,26754.0,29647.0
5786,6719,26751.0,29657.0
5787,-1943,26753.0,29653.0
5788,-234,26757.0,29654.0
5789,3642,26754.0,29657.0
5790,5415,26757.0,29659.0
5791,5167,26757.0,29664.0
5792,2511,26753.0,29666.0
5793,7883,26761.0,29674.0
5794,2486,26762.0,29671.0
5795,-3391,26764.0,29674.0
5796,3199,26765.0,29678.0
5797,-637,26766.0,29680.0
5798,4136,26766.0,29679.0
5799,6102,26767.0,29684.0
5800,6465,26770.0,29684.0
5801,3911,26776.0,29691.0
5802,2817,26768.0,29693.0
5803,-1237,26775.0,29698.0
5804,-2665,26773.0,29702.0
5805,-272,26778.0,29708.0
5806,-5568,26774.0,29702.0
5807,-6374,26775.0,29709.0
5808,-4448,26780.0,29714.0
5809,-6154,26775.0,29721.0
5810,-6663,26788.0,29726.0
5811,-3871,26785.0,29727.0
5812,-9382,26781.0,29726.0
5813,-5234,26786.0,29733.0
5814,9767,26785.0,29736.0
5815,7459,26792.0,29746.0
5816,654,26791.0,29741.0
5817,-1265,26789.0,29743.0
5818,6796,26800.0,29755.0
5819,5328,26796.0,29750.0
5820,3392,26797.0,29755.0
5821,5847,26799.0,29763.0
5822,4058,26801.0,29765.0
5823,1826,26805.0,29763.0
5824,15,26796.0,29774.0
5825,4695,26804.0,29785.0
5826,1318,26801.0,29783.0
5827,4817,26806.0,29782.0
5828,3622,26813.0,29785.0
5829,6699,26810.0,29792.0
5830,3108,26811.0,29796.0
5831,9020,26810.0,29798.0
5832,9666,26815.0,29803.0
5833,5792,26818.0,29804.0
5834,6668,26815.0,29809.0
5835,10509,26818.0,29812.0
5836,10622,26826.0,29816.0
5837,5025,26818.0,29821.0
5838,2546,26822.0,29824.0
5839,-865,26825.0,29833.0
5840,2781,26829.0,29830.0
5841,-1263,26828.0,29836.0
5842,-2161,26832.0,29846.0
5843,-1412,26826.0,29850.0
5844,6607,26833.0,29847.0
5845,1123,26835.0,29852.0
5846,7424,26837.0,29856.0
5847,5820,26842.0,29858.0
5848,3302,26837.0,29868.0
5849,3856,26843.0,29866.0
5850,-2651,26842.0,29870.0
5851,-2738,26838.0,29870.0
5852,-3925,26838.0,29861.0
5853,-6547,26836.0,29851.0
5854,-7219,26828.0,29835.0
5855,-8113,26816.0,29817.0
5856,-5767,26820.0,29802.0
5857,-7917,26806.0,29787.0
5858,-6758,26812.0,29774.0
5859,-5669,26805.0,29764.0
5860,-8617,26805.0,29760.0
5861,-5826,26793.0,29754.0
5862,-6824,26799.0,29751.0
5863,-7106,26798.0,29753.0
5864,-4389,26790.0,29745.0
5865,-6584,26793.0,29746.0
5866,-5486,26793.0,29742.0
5867,-9603,26791.0,29737.0
5868,-8853,26786.0,29730.0
5869,-6977,26785.0,29727.0
5870,-5123,26787.0,29728.0
5871,-6568,26778.0,29720.0
5872,-8081,26779.0,29724.0
5873,-7495,26786.0,29712.0
5874,-6065,26780.0,29710.0
5875,-7630,26776.0,29707.0
5876,-10416,26774.0,29713.0
5877,-6721,26782.0,29719.0
5878,-6787,26782.0,29712.0
5879,-10446,26778.0,29719.0
5880,-12749,26779.0,29717.0
5881,-4849,26782.0,29720.0
5882,-12277,26780.0,29717.0
5883,-1991,26782.0,29714.0
5884,-2778,26778.0,29715.0
5885,-2492,26773.0,29710.0
5886,-774,26770.0,29708.0
5887,1709,26777.0,29703.0
5888,-1640,26778.0,29709.0
5889,-4530,26770.0,29701.0
5890,3785,26773.0,29703.0
5891,6316,26775.0,29707.0
5892,1831,26776.0,29706.0
5893,-3906,26773.0,29715.0
5894,-3847,26777.0,29709.0
5895,5466,26775.0,29713.0
5896,-2031,26777.0,29714.0
5897,-3872,26784.0,29722.0
5898,2044,26779.0,29718.0
5899,-1784,26786.0,29722.0
5900,3043,26779.0,29727.0
5901,-6169,26786.0,29727.0
5902,-4308,26792.0,29725.0
5903,-1167,26787.0,29727.0
5904,1210,26784.0,29737.0
5905,2391,26791.0,29741.0
5906,1979,26786.0,29736.0
5907,6757,26793.0,29739.0
5908,8844,26791.0,29741.0
5909,5877,26793.0,29747.0
5910,-7263,26794.0,29749.0
5911,-5564,26798.0,29749.0
5912,-2275,26800.0,29757.0
5913,-3669,26796.0,29762.0
5914,-10045,26802.0,29759.0
5915,-8871,26798.0,29762.0
5916,-9644,26802.0,29768.0
5917,-6008,26802.0,29769.0
5918,-1254,26805.0,29770.0
5919,990,26805.0,29775.0
5920,-2873,26806.0,29773.0
5921,-6720,26805.0,29775.0
5922,-6001,26805.0,29780.0
5923,-1584,26811.0,29783.0
5924,-4501,26806.0,29790.0
5925,-5994,26812.0,29788.0
5926,-6824,26818.0,29797.0
5927,-7106,26813.0,29793.0
5928,-4389,26814.0,29802.0
5929,-6584,26814.0,29803.0
5930,-5486,26813.0,29810.0
5931,-9603,26818.0,29807.0
5932,-8853,26822.0,29810.0
5933,-6977,26823.0,29813.0
5934,-5123,26820.0,29820.0
5935,-6568,26823.0,29821.0
5936,-8081,26826.0,29823.0
5937,-7495,26831.0,29833.0
5938,-6065,26829.0,29835.0
5939,-7630,26831.0,29844.0
5940,-10416,26834.0,29840.0
5941,-6721,26832.0,29847.0
5942,-6714,26834.0,29850.0
5943,-12480,26841.0,29859.0
5944,-5936,26836.0,29860.0
5945,-8261,26836.0,29858.0
5946,-6280,26841.0,29864.0
5947,-8978,26838.0,29856.0
5948,-6494,26833.0,29846.0
5949,-3446,26827.0,29832.0
5950,-9662,26826.0,29820.0
5951,-6186,26816.0,29801.0
5952,-1771,26810.0,29787.0
5953,-314,26812.0,29779.0
5954,-4765,26803.0,29762.0
5955,-684,26801.0,29753.0
5956,-187,26797.0,29749.0
5957,-1989,26800.0,29742.0
5958,-2611,26794.0,29738.0
